,msa,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,msa_name,msa_state,code
161,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7.4,7.7,7.5,6,5.3,4.4,3.6,3.7,3.7,5.3,4.5,Washington-Arlington-Alexandria,"DC,VA,MD,WV",47900
162,"Wausau, WI",3.1,2.3,2.3,1.5,0,0,1.5,1.5,1.5,1.5,0.7,Wausau,WI,48140
163,"Wichita Falls, TX",6,4.1,4.7,7.5,4.8,0.6,4.6,4.6,2,1.3,8,Wichita Falls,TX,48660
164,"Williamsport, PA",0.8,2.6,1.7,1.7,1.7,0.9,1.7,5.1,3.4,6,6.1,Williamsport,PA,48700
165,"Wilmington, NC",4.7,5.6,4.6,2.5,3,4.4,3.8,3.4,12.5,7.2,6,Wilmington,NC,48900
166,"Winchester, VA-WV",5.1,0.8,1.6,2.4,1.6,2.3,1.5,2.3,1.5,1.5,5.2,Winchester,"VA,WV",49020
167,"Yuba City, CA",4.4,1.2,6,2.4,4.2,4.7,6.5,4.2,1.2,3.5,7.6,Yuba City,CA,49700
168,"Aguadilla-Isabela, Puerto Rico",2.5,3.9,6.2,3.8,6.8,9.8,9.3,11,5.9,4.8,7.1,Aguadilla-Isabela,PR,10380
169,"Akron, OH",3.5,3.6,3.4,4,3.7,4.7,3.8,5.1,4.8,5.1,6,Akron,OH,10420
170,"Albany, GA",6.5,9.1,7.25,5.4,8.7,10,5.6,5.7,5.8,7.8,11.8,Albany,GA,10500
171,"Albany, OR",0.4,0.4,0.4,0.4,0.4,0.4,0,0.8,2.5,2.5,0,Albany,OR,10540
172,"Albany-Schenectady-Troy, NY",2.1,1.5,2.7,2.8,1.5,1.5,2.6,2.7,3.6,2.8,2,Albany-Schenectady-Troy,NY,10580
173,"Alexandria, LA",7.1,6.7,6.6,6.5,5.8,3.2,5.8,7.8,6.5,4.5,7.8,Alexandria,LA,10780
174,"Allentown-Bethlehem-Easton, PA-NJ",3.7,4.6,2.8,2.9,3.5,2.8,4.1,2.9,2.2,2.4,2.6,Allentown-Bethlehem-Easton,"PA,NJ",10900
176,"Anderson, IN",1.95,3.1,1.95,0.8,2.3,1.55,1.55,1.55,1.55,1.55,1.55,Anderson,IN,11300
177,"Anderson, SC",10.1,2.8,9.9,4.8,5.3,7.9,6.6,6.6,6.6,6.6,6.6,Anderson,SC,11340
178,"Anniston-Oxford-Jacksonville, AL",5.25,5.25,5.25,5.3,5.2,11.8,5.1,6.8,6,8.7,7,Anniston-Oxford-Jacksonville,AL,11500
179,"Arecibo, Puerto Rico",16.8,16.8,16.8,16.8,16.8,16.8,19.8,13.8,8.9,6.9,5.4,Arecibo,PR,11640
180,"Asheville, NC",2.7,5.2,2.2,2.7,1.9,2.8,4.6,3.75,2.9,2.7,5.1,Asheville,NC,11700
181,"Atlanta-Sandy Springs-Marietta-Roswell, GA",7.4,8.7,7.4,5.9,6.1,6,6.1,5.9,6.1,6.2,6.8,Atlanta-Sandy Springs-Marietta-Roswell,GA,12060
182,"Atlantic City-Hammonton, NJ",11.1,5.5,7.7,8.8,8,8,10.9,2.9,6.1,6.9,6.5,Atlantic City-Hammonton,NJ,12100
183,"Auburn-Opelika, AL",5.4,6.3,4.5,6.6,4.35,2.1,5.6,3.8,2,7.85,13.7,Auburn-Opelika,AL,12220
184,"Augusta-Richmond County, GA-SC",6,7,7.7,7.8,10.2,8.9,8.2,5.5,6.7,7.05,7.4,Augusta-Richmond County,"GA,SC",12260
185,"Austin-Round Rock-San Marcos, TX",1.9,2.8,2,2.4,3.4,2.9,2.2,2.8,2.4,2.2,3.4,Austin-Round Rock-San Marcos,TX,12420
186,"Bakersfield-Delano, CA",8.5,6.3,7.1,9.2,9,5.4,7.6,7.1,6.7,7.3,9.9,Bakersfield-Delano,CA,12540
187,"Baltimore-Columbia-Towson, MD",13.3,13.4,11.3,11.1,10.3,9.4,9.5,10,9.6,13.1,14.1,Baltimore-Columbia-Towson,MD,12580
188,"Baton Rouge, LA",14.4,17.9,13.4,14,12.95,11.9,11.8,10.2,10.7,11.1,9.5,Baton Rouge,LA,12940
189,"Battle Creek, MI",7.9,8,3.7,10.4,4.5,5.9,5.2,4.45,3,3,5.2,Battle Creek,MI,12980
190,"Beckley, WV",8.4,8.4,8.4,8.4,8.4,8.4,11.2,8.4,5.6,6.5,9.9,Beckley,WV,13220
191,"Bellingham, WA",0.5,1.1,1,4,2.5,1.5,1.9,1.45,1,2.8,1.9,Bellingham,WA,13380
192,"Bend-Redmond, OR",1.4,0,0,1.2,4.3,1.3,1.55,1.8,0,1.7,1.1,Bend-Redmond,OR,13460
194,"Birmingham-Hoover, AL",12.5,11.7,10.3,9.3,9.1,8.9,9.4,8.2,7.8,11.1,9.45,Birmingham-Hoover,AL,13820
195,"Blacksburg-Christiansburg-Radford, VA",5.2,21.2,3.8,5,3.1,1.8,1.1,1.1,4.4,3.6,2.8,Blacksburg-Christiansburg-Radford,VA,13980
196,"Bloomington, IL",0.9,0.9,0.9,0.9,0.6,1.2,0.5,2.1,1.6,0,1.6,Bloomington,IL,14010
197,"Bloomsburg-Berwick, PA",1.75,1.75,1.75,1.75,1.75,1.75,2.3,1.2,1.2,1.2,1.2,Bloomsburg-Berwick,PA,14100
198,"Boise City-Nampa, ID",2.7,3.6,0.8,1.6,1.6,1.3,1.1,0.9,1.7,1.8,2.5,Boise City-Nampa,ID,14260
200,"Boston-Cambridge-Newton, MA-NH",2.7,2.8,2.6,2.4,3.5,2.8,2.1,1.8,1.95,1.85,1.9,Boston-Cambridge-Newton,"MA,NH",14460
201,"Boulder, CO",2.35,2.35,2.35,2.4,2.3,1.3,0,0.6,1.9,0.9,0.3,Boulder,CO,14500
